0, 31703 96347 113021 87348 102649 94639 1583
1, 100546 88583 120455 121136 87122 31709 11871 31618 105041 15228 91862 30252 90127 82681 58368 18480 27530 96475 99204 51471 37191 14390 61304 68689 10408 68524 63550
2, 108268 60841 113112 81262 55354 73567 63312
3, 78445 45090 111100 122206 114314 117454
4, 54837 112664 109700 56449
5, 97548 108062
6, 40218 40176 42742 83780 51679 123779 41703 120609 18842 86860 110144 75565
7, 104357 82817 16507 20897 100534 81260 74772 96678 93191 11087 21638 76878 93544 116153 67150 7191 113292 34134 107752 52455 75266 48945 84019 69661 84732
8, 49977 53755
9, 80405 117439 25182 66687 67382
10, 20225 90665 40981 78324 76931 107531
11, 125322 9236 2423 80149 100436 124115 115200
12, 122092 40948 33982 116627 111790 16975
13, 122687 64825 19252 52103 782
14, 112094 31480 6291 81943 93862 20860 62371 13990
15, 90093 60580 29859 103360 26637 78430 56720 83974 96559 8013 19124
16, 84476 109844 52799
17, 101310 109695 104879 31265 58856 125048
18, 23308 112663 127140 29899 77443 9177 104002 103927 12869 21863 97600 60264 119091 68299 69137 10264 110267 75155 75575
19, 49899 20564 27048 74298 81115
20, 122638 60729
21, 20746 97956 24219 60691 16695 106189
22, 92132 86702
23, 39858 98113 88553 63287 84975 55499 47878
24, 69071 106856 98659 119368 329 20432 10523 74631
25, 60355 93214 7160 55542 56960
26, 31848 107826 112631
27, 72396 97412 81834 104693
28, 96062 85926 110840
29, 1519 77105
30, 25283 87332 90923 46003 25168 52567 112929
31, 89346 61863 36724 91876
32, 50015 91587 87743 90076
33, 95640 3053
34, 85152 124500 42043 123822
35, 65063 60726 58609 121455 21528 57400 6572 2825 89176 8764 78589 67146 84505 113091 28075 67505 75282 88408 98382 21924 105701 109159
36, 125970 21554 60863 51625 52149 14615 29830 2469 31855 6709
37, 122292 30116 50010 40177 99285
38, 124724 86733
39, 114734 98579 102300 127479 98958
40, 118405 79544 59118 88326 48615
41, 48039 65776 34390 95241 60329
42, 41647 53864 73825 116776 59763
43, 110251 108821
44, 6126
45, 94773
46, 13358
47, 84681 111741 42994 104486 18596
48, 107632
49, 125942 101618 53179 120349
50, 117412 122667 99825 74459 9008 119117 31179 35580 28223 48842 73378 71848 102625 87070 11224 112260 34883 104636 118136 52683 57042 25634 114954 103054 46472 19433 59923 59026 77882 90160 120226 94080 106126
51, 5310 32513 41687 119099 92260 88110 112000 84534 85209 43674 4191 42047 76847 121986 39937 118054 117934 105371 45580 37391 109322 79352 3427 28657 41816 116788 32487 60396 123891 54535 119441 6084 47712 2814 66233 82980
52, 86897 20080 3804 104650 127756 24605 56682 59634 69688 69340 57940 10952 14284 111392 66219
53, 29578
54, 128082 109248 72234 77443 23999 13134
55, 112262 15258 117436 23464 86231 49268 71242 15761 49283 28808 49252 27084 36644 106002 79715 36575 58202 101313 54638 77793 123608 75005 35875 25595 55381 100073 126924 1424 29716 65138 9742 76941 26697 80342
56, 85729
57, 112998 98990 42355 74940 104353
58, 102206 100004
59, 35265 112433 72643 1419 36546 122346 120924 60555 108277 117814 107492
60, 54151 74769
61, 24004
62, 93780 575 74685 6159 99945 6118 120799 65461 24313
63, 93849 103826 56817 39197 7731
64, 47069 112669
65, 116518 89592 41355
66, 30634 115434
67, 60031 93020 53994 78493 36675
68, 113075 55837 29982
69, 19169 68672 44448 124553 56337 24589 14989 39686 52324
70, 88562 24184 25095 42202 102351 82297 84925 112794 44354 10365 56602 48263 36023 93033 8098 92585 57056
71, 42862 109973 30436 15154
72, 22812 32799 32826 11039 32254 66564
73, 34204 30043 108063 106434 52553 55462 83168 127849 1135 97171 43543
74, 7449 24325 34198 1999 63142 21710 107016 63075 84327 23185 35488 111658 52078 128013 113577 77516 72911 61654 85953 48059 108163 35609 81923 67240 19493 18802 72486 52652 115648 9546 124289 127009 52855 39354 44820 68218 82508 10042 9662 14286 18325 1047 4771 1007 73180 36844 69920
75, 44659 18046 26953 12159 18880 72113 52315 108451
76, 120833 62403 37089 80750 30418
77, 67049 26539 52087
78, 98647 42164 2351 127708 79721 20576 14842
79, 44001 11061 97941 117102 69728 121879
80, 103665 12544 111910 71069 103288 80320 46765 52422 71888 104807 23998 23890 16904 50172 62895 90939
81, 99418 65593 11308 118064 98274 4697 88752 31834 3321 105883 64667 77259 95302 50990 77480 52208 111293 25505 51137 54802 45688 107520 8667 54640 10571 65065 46522 67810 122235 92902 49424 117094 75106 1437 9429 69758 88905 70068 126619
82, 13246 52239 3866 43048 49419 59768 27723 23717 6611 46038 78934 27940 60129
83, 105334 84416 87917 24259 69850 127697
84, 53578 75737
85, 126944 12313 121516 60240 93524
86, 51284
87, 66999 30773
88, 103837
